Title,genres,Director,Actors
Toy Story,Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney"
Sabrina,Comedy|Romance,Billy Wilder,"Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden"
Mortal Kombat,Action|Adventure|Fantasy,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa"
Hackers,Action|Adventure|Crime|Thriller,Iain Softley,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard"
Waterworld,Action|Adventure|Sci-Fi,Kevin Reynolds,"Kevin Costner, Chaim Jeraffi, Rick Aviles, R.D. Call"
Beverly Hills Cop III,Action|Comedy|Crime|Thriller,John Landis,"Eddie Murphy, Jon Tenney, Joey Travolta, Eugene Collier"
Tombstone,Action|Drama|Western,"George P. Cosmatos, Kevin Jarre","Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton"
Courage Under Fire,Action|Crime|Drama|War,Edward Zwick,"Denzel Washington, Meg Ryan, Lou Diamond Phillips, Michael Moriarty"
Ransom,Crime|Thriller,Ron Howard,"Mel Gibson, Rene Russo, Brawley Nolte, Gary Sinise"
Tin Cup,Comedy|Drama|Romance,Ron Shelton,"Kevin Costner, Rene Russo, Don Johnson, Cheech Marin"
Groundhog Day,Comedy|Fantasy|Romance,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky"
Unforgiven,Drama|Western,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris"
Dracula,Fantasy|Horror|Romance|Thriller,"Tod Browning, Karl Freund","Bela Lugosi, Helen Chandler, David Manners, Dwight Frye"
Cape Fear,Thriller,Martin Scorsese,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis"
Night Falls on Manhattan,Crime|Drama,Sidney Lumet,"Andy Garcia, Ian Holm, James Gandolfini, Lena Olin"
Beavis and Butt-Head Do America,Adventure|Animation|Comedy|Crime,"Mike Judge, Mike de Seve, Brian Mulroney, Yvette Kaplan","Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman"
Anaconda,Action|Adventure|Thriller,Luis Llosa,"Jennifer Lopez, Ice Cube, Jon Voight, Eric Stoltz"
Spawn,Action|Adventure|Sci-Fi|Thriller,Mark A.Z. Dippé,"Michael Jai White, John Leguizamo, Martin Sheen, Theresa Randle"
Fire Down Below,Action|Drama|Thriller,Félix Enríquez Alcalá,"Steven Seagal, Marg Helgenberger, Stephen Lang, Brad Hunt"
Gattaca,Drama|Sci-Fi|Thriller,Andrew Niccol,"Ethan Hawke, Uma Thurman, Gore Vidal, Xander Berkeley"
U.S. Marshals,Action|Crime|Thriller,Stuart Baird,"Tommy Lee Jones, Wesley Snipes, Robert Downey Jr., Joe Pantoliano"
Deep Impact,Drama|Sci-Fi|Thriller,Mimi Leder,"Robert Duvall, Téa Leoni, Elijah Wood, Vanessa Redgrave"
Godzilla,Action|Sci-Fi|Thriller,Gareth Edwards,"Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston"
SLC Punk!,Comedy|Drama,James Merendino,"Matthew Lillard, Michael A. Goorjian, Annabeth Gish, Jennifer Lien"
eXistenZ,Action|Sci-Fi|Thriller,David Cronenberg,"Jennifer Jason Leigh, Jude Law, Ian Holm, Willem Dafoe"
Backdraft,Action|Drama,Ron Howard,"Kurt Russell, William Baldwin, Robert De Niro, Donald Sutherland"
Deuce Bigalow: Male Gigolo,Comedy,Mike Mitchell,"Rob Schneider, William Forsythe, Eddie Griffin, Arija Bareikis"
Galaxy Quest,Adventure|Comedy|Sci-Fi,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub"
Mission to Mars,Sci-Fi,Brian De Palma,"Gary Sinise, Tim Robbins, Don Cheadle, Connie Nielsen"
Scary Movie,Comedy|Horror,Keenen Ivory Wayans,"Carmen Electra, Dave Sheridan, Frank B. Moore, Giacomo Baessato"
Air America,Action|Comedy,Roger Spottiswoode,"Mel Gibson, Robert Downey Jr., Nancy Travis, Ken Jenkins"
Atlantis: The Lost Empire,Adventure|Animation|Children|Fantasy,"Gary Trousdale, Kirk Wise","Corey Burton, Claudia Christian, Michael J. Fox, James Garner"
Lara Croft: Tomb Raider,Action|Adventure,Simon West,"Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor"
Jurassic Park III,Action|Adventure|Sci-Fi|Thriller,Joe Johnston,"Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola"
Planet of the Apes,Action|Adventure|Drama|Sci-Fi,Tim Burton,"Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan"
Little Man Tate,Drama,Jodie Foster,"Jodie Foster, Alex Lee, Adam Hann-Byrd, Michael Shulman"
Harry Potter and the Sorcerer's Stone,Adventure|Children|Fantasy,Chris Columbus,"Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets"
Spy Game,Action|Crime|Drama|Thriller,Tony Scott,"Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane"
Ocean's Eleven,Crime|Thriller,Steven Soderbergh,"George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence"
Brotherhood of the Wolf,Action|Mystery|Thriller,Christophe Gans,"Samuel Le Bihan, Mark Dacascos, Jérémie Renier, Vincent Cassel"
The Count of Monte Cristo,Action|Adventure|Drama|Thriller,Kevin Reynolds,"Jim Caviezel, Guy Pearce, Richard Harris, James Frain"
Powder,Drama|Sci-Fi,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum"
Braveheart,Action|Drama|War,Mel Gibson,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo"
Ed Wood,Comedy|Drama,Tim Burton,"Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette"
Pulp Fiction,Comedy|Crime|Drama|Thriller,Quentin Tarantino,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta"
Timecop,Action|Sci-Fi|Thriller,Peter Hyams,"Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill"
With Honors,Comedy|Drama,Alek Keshishian,"Joe Pesci, Brendan Fraser, Moira Kelly, Patrick Dempsey"
Jurassic Park,Action|Adventure|Sci-Fi|Thriller,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
Much Ado About Nothing,Comedy|Romance,Kenneth Branagh,"Richard Briers, Kate Beckinsale, Imelda Staunton, Jimmy Yuill"
Schindler's List,Drama|War,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall"
Fargo,Comedy|Crime|Drama|Thriller,"Joel Coen, Ethan Coen","William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd"
Mulholland Falls,Crime|Drama|Thriller,Lee Tamahori,"Nick Nolte, Melanie Griffith, Chazz Palminteri, Michael Madsen"
Star Trek: First Contact,Action|Adventure|Sci-Fi|Thriller,Jonathan Frakes,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton"
Face/Off,Action|Crime|Drama|Thriller,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
Men in Black,Action|Comedy|Sci-Fi,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio"
L.A. Confidential,Crime|Film-Noir|Mystery|Thriller,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell"
Hurricane Streets,Drama,Morgan J. Freeman,"Brendan Sexton III, Antoine McLean, Mtume Gant, Carlo Alban"
Starship Troopers,Action|Sci-Fi,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey"
Good Will Hunting,Drama|Romance,Gus Van Sant,"Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton"
Titanic,Drama|Romance,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
Suicide Kings,Comedy|Crime|Drama|Mystery|Thriller,Peter O'Fallon,"Mark Watson, Christopher Walken, Denis Leary, Nina Siemaszko"
Lost in Space,Action|Adventure|Sci-Fi,Stephen Hopkins,"William Hurt, Mimi Rogers, Heather Graham, Lacey Chabert"
Smoke Signals,Comedy|Drama,Chris Eyre,"Adam Beach, Evan Adams, Irene Bedard, Gary Farmer"
Armageddon,Action|Romance|Sci-Fi|Thriller,Michael Bay,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler"
Saving Private Ryan,Action|Drama|War,Steven Spielberg,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper"
Snake Eyes,Action|Crime|Mystery|Thriller,Brian De Palma,"Nicolas Cage, Gary Sinise, John Heard, Carla Gugino"
54,Drama,Mark Christopher,"Ryan Phillippe, Salma Hayek, Neve Campbell, Mike Myers"
Practical Magic,Drama|Fantasy|Mystery|Romance,Griffin Dunne,"Sandra Bullock, Nicole Kidman, Stockard Channing, Dianne Wiest"
Gods and Monsters,Drama,Bill Condon,"Ian McKellen, Brendan Fraser, Lynn Redgrave, Lolita Davidovich"
