Title,movieId,bag_of_words
Toy Story,1,tomhanks timallen donrickles jimvarney johnlasseter A d v e n t u r e   A n i m a t i o n   C h i l d r e n   C o m e d y   F a n t a s y
Jumanji,2,robinwilliams jonathanhyde kirstendunst bradleypierce joejohnston A d v e n t u r e   C h i l d r e n   F a n t a s y
Grumpier Old Men,3,waltermatthau jacklemmon sophialoren ann-margret howarddeutch C o m e d y   R o m a n c e
Waiting to Exhale,4,whitneyhouston angelabassett lorettadevine lelarochon forestwhitaker C o m e d y   D r a m a   R o m a n c e
Father of the Bride Part II,5,stevemartin dianekeaton martinshort kimberlywilliams-paisley charlesshyer C o m e d y
Heat,6,alpacino robertdeniro valkilmer jonvoight michaelmann A c t i o n   C r i m e   T h r i l l e r
Sabrina,7,humphreybogart audreyhepburn williamholden walterhampden billywilder C o m e d y   R o m a n c e
Tom and Huck,8,jonathantaylorthomas bradrenfro ericschweig charlesrocket peterhewitt A d v e n t u r e   C h i l d r e n
Sudden Death,9,jean-claudevandamme powersboothe raymondj.barry whittniwright peterhyams A c t i o n
GoldenEye,10,piercebrosnan seanbean izabellascorupco famkejanssen martincampbell A c t i o n   A d v e n t u r e   T h r i l l e r
Dracula: Dead and Loving It,12,leslienielsen petermacnicol stevenweber amyyasbeck melbrooks C o m e d y   H o r r o r
Balto,13,kevinbacon bobhoskins bridgetfonda jimcummings simonwells A d v e n t u r e   A n i m a t i o n   C h i l d r e n
Nixon,14,anthonyhopkins joanallen powersboothe edharris oliverstone D r a m a
Cutthroat Island,15,geenadavis matthewmodine franklangella maurychaykin rennyharlin A c t i o n   A d v e n t u r e   R o m a n c e
Casino,16,robertdeniro sharonstone joepesci jameswoods martinscorsese C r i m e   D r a m a
Sense and Sensibility,17,jamesfleet tomwilkinson harrietwalter katewinslet anglee D r a m a   R o m a n c e
Sense and Sensibility,17,jamesfleet tomwilkinson harrietwalter katewinslet anglee D r a m a   R o m a n c e
Four Rooms,18,"sammidavis amandadecadenet valeriagolino madonna allisonanders,alexandrerockwell,robertrodriguez,quentintarantino C o m e d y"
Ace Ventura: When Nature Calls,19,jimcarrey ianmcneice simoncallow maynardeziashi steveoedekerk C o m e d y
Money Train,20,wesleysnipes woodyharrelson jenniferlopez robertblake josephruben A c t i o n   C o m e d y   C r i m e   D r a m a   T h r i l l e r
Get Shorty,21,johntravolta genehackman renerusso dannydevito barrysonnenfeld C o m e d y   C r i m e   T h r i l l e r
Copycat,22,sigourneyweaver hollyhunter dermotmulroney williammcnamara jonamiel C r i m e   D r a m a   H o r r o r   M y s t e r y   T h r i l l e r
Assassins,23,sylvesterstallone antoniobanderas juliannemoore anatolidavydov richarddonner A c t i o n   C r i m e   T h r i l l e r
Powder,24,marysteenburgen seanpatrickflanery lancehenriksen jeffgoldblum victorsalva D r a m a   S c i - F i
Leaving Las Vegas,25,nicolascage elisabethshue juliansands richardlewis mikefiggis D r a m a   R o m a n c e
Othello,26,laurencefishburne irènejacob kennethbranagh nathanielparker oliverparker D r a m a
